,sample_id,OM,ENR,CEC,pH,BpH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron,site_id,collect_date,V2,species
49,CMB6,34.6,150.0,13.7,5.0,6.37,71.0,162.0,1251.0,165.0,21.0,17.0,18.0,37.0,161.0,0.5,0.5,CMB,6/29/2021,0.388694493,syriaca
50,CMB8,23.6,150.0,12.4,5.5,6.61,107.0,124.0,1230.0,321.0,17.0,14.0,12.8,19.0,81.0,0.6,0.3,CMB,6/29/2021,0.999999966,syriaca
51,CMB9,27.4,150.0,13.7,5.2,6.46,99.0,140.0,1256.0,280.0,16.0,14.0,14.6,15.0,92.0,0.6,0.3,CMB,6/29/2021,0.999998074,syriaca
52,CMB10,26.2,150.0,9.4,4.6,6.42,79.0,98.0,620.0,104.0,27.0,15.0,11.9,23.0,107.0,0.7,0.2,CMB,6/29/2021,0.999777121,syriaca
53,CMB11,32.7,150.0,8.4,4.8,6.54,105.0,95.0,649.0,115.0,25.0,14.0,11.1,25.0,97.0,0.5,0.2,CMB,6/29/2021,0.999999983,syriaca
54,CMB13,29.2,150.0,9.8,4.9,6.5,60.0,91.0,805.0,139.0,20.0,14.0,11.5,19.0,80.0,0.5,0.2,CMB,6/29/2021,0.989130596,syriaca
55,CMB14,33.0,150.0,8.4,4.8,6.54,60.0,81.0,665.0,102.0,25.0,18.0,10.9,17.0,88.0,0.5,0.2,CMB,6/29/2021,0.99999205,syriaca
56,CMB15,29.4,150.0,8.2,5.1,6.62,36.0,122.0,713.0,139.0,22.0,23.0,11.1,16.0,81.0,0.5,0.3,CMB,6/29/2021,0.998547653,syriaca
57,CMB16,28.7,150.0,10.8,5.6,6.68,51.0,155.0,1222.0,208.0,22.0,16.0,12.3,21.0,77.0,0.4,0.3,CMB,6/29/2021,0.999243483,syriaca
58,CMB17,27.2,150.0,10.3,5.4,6.64,44.0,174.0,1132.0,151.0,22.0,15.0,14.3,22.0,83.0,0.5,0.3,CMB,6/29/2021,1.0,syriaca
59,CMB18,25.6,150.0,13.3,5.7,6.65,88.0,139.0,1557.0,275.0,18.0,14.0,13.8,29.0,81.0,0.4,0.4,CMB,6/29/2021,0.999999996,syriaca
60,CMB19,24.2,150.0,12.4,5.5,6.61,47.0,143.0,1371.0,231.0,18.0,15.0,14.5,20.0,88.0,0.5,0.4,CMB,6/29/2021,0.999935194,syriaca
61,CMB20,23.7,150.0,12.3,5.1,6.47,77.0,111.0,1163.0,179.0,16.0,14.0,12.4,26.0,78.0,0.5,0.3,CMB,6/29/2021,0.994411087,syriaca
62,CMB21,31.1,150.0,13.9,4.9,6.32,52.0,105.0,1184.0,190.0,19.0,15.0,17.0,17.0,91.0,0.5,0.3,CMB,6/29/2021,0.999994372,syriaca
63,CMB22,32.4,150.0,9.3,5.3,6.64,72.0,104.0,925.0,168.0,22.0,14.0,11.0,24.0,88.0,0.4,0.3,CMB,6/29/2021,0.99897665,syriaca
64,CMB23,36.9,150.0,13.0,5.4,6.56,70.0,176.0,1436.0,193.0,20.0,17.0,19.5,33.0,111.0,0.5,0.3,CMB,6/29/2021,0.982635596,syriaca
65,CMB24,23.6,150.0,11.6,4.9,6.42,50.0,118.0,989.0,143.0,24.0,13.0,12.8,21.0,97.0,0.5,0.3,CMB,6/29/2021,1.0,syriaca
