Sample_ID,N_percent_dm,P_percent_dm,K_percent_dm,Ca_percent_dm,Mg_percent_dm,Na_percent_dm,S_percent_dm,Zn_ppm_dm,Mn_ppm_dm,Fe_ppm_dm,Cu_ppm_dm,B_ppm_dm,Al_ppm_dm
LFS6,3.43,0.29,2.18,0.9,0.2,0.01,0.26,23,119,63,4,22,23
LFS7,4.51,0.26,3.77,0.78,0.13,0.01,0.34,21,145,53,3,48,15
LFS8,3.75,0.26,2.77,0.58,0.12,0.01,0.26,19,91,44,4,39,12
LFS9,,0.26,2.3,0.39,0.22,0.01,0.26,20,91,79,3,19,49
LFS11,,0.2,4.19,0.49,0.18,0.01,0.23,15,151,63,2,31,38
LFS12,3.55,0.26,3,0.91,0.13,0.01,0.28,19,199,69,3,31,35
LFS13,3.17,0.24,2.74,1.2,0.32,0.01,0.36,26,228,62,4,28,27
LFS14,3.72,0.24,2.51,0.88,0.33,0.01,0.28,14,138,67,3,24,27
LFS15,3.82,0.22,3.42,0.95,0.25,0.01,0.32,7,143,69,2,26,29
SGC1,3.5,0.33,3.65,2.49,0.27,0.01,0.34,36,186,135,10,23,42
SGC2,3.63,0.21,2.77,1.44,0.32,0.01,0.32,18,148,250,7,14,89
SGC3,,0.19,3.33,1.26,0.21,0.01,0.29,16,165,155,7,15,47
SGC4,3.41,0.24,4.42,1.95,0.22,0.01,0.31,19,100,251,7,15,95
SGC5,3.2,0.25,4.18,0.94,0.32,0.01,0.24,24,227,64,13,18,13
SGC6,2.84,0.16,3.27,0.93,0.31,0.01,0.28,27,248,46,10,18,11
SGC7,3.04,0.13,0.94,1.57,0.58,0.01,0.31,40,105,82,7,23,37
SGC8,2.73,0.14,0.95,2.13,0.61,0.01,0.3,40,67,73,7,19,28
SGC9,3.28,0.2,3.73,0.87,0.41,0.01,0.25,20,82,50,8,21,7
SGC10,2.8,0.15,3.6,2.21,0.71,0.01,0.26,23,146,93,6,21,50
SGC11,2.77,0.16,3.87,1.64,0.55,0.01,0.22,24,129,60,6,38,21
SGC12,2.23,0.17,3.94,0.83,0.38,0.01,0.19,19,66,36,6,29,8
RGT1,2.98,0.24,1.69,1.45,0.4,0.01,0.25,14,44,54,6,12,7
RGT2,2.76,0.29,2.4,1.83,0.42,0.01,0.21,15,86,50,6,14,7
RGT3,3.05,0.29,3.08,2.29,0.48,0.01,0.26,17,67,50,6,13,8
RGT4,2.85,0.27,2.58,1.42,0.28,0.01,0.23,23,51,55,7,16,8
RGT5,2.48,0.29,2.92,1.1,0.28,0.01,0.19,14,48,38,6,7,6
RGT6,2.78,0.27,2.29,2.44,0.38,0.01,0.31,21,71,28,8,38,3
RGT7,3.11,0.35,2.65,1.33,0.25,0.01,0.3,22,42,32,9,26,4
PTW1,,0.22,3.77,0.8,0.29,0.01,0.2,22,95,126,5,31,58
PTW2,3.82,0.33,3.4,0.76,0.45,0.01,0.28,31,67,92,8,35,27
PTW3,,0.22,3.87,0.87,0.38,0.01,0.23,21,193,88,6,44,40
PTW4,3.68,0.28,3.22,0.9,0.54,0.01,0.27,26,111,75,6,46,21
PTW5,,0.26,2.93,1.08,0.61,0.01,0.28,23,91,74,10,52,19
PTW6,,0.26,3.36,0.81,0.4,0.01,0.24,24,96,66,6,49,26
PTW7,,0.21,2.54,0.65,0.33,0.01,0.23,26,208,68,16,31,32
PTW8,,0.19,2.89,0.8,0.35,0.01,0.23,27,173,83,12,38,42
PTW9,3.66,0.19,3.98,0.89,0.32,0.01,0.22,26,161,59,10,47,24
PTW10,,0.21,3.07,0.72,0.29,0.01,0.2,20,154,57,6,43,21
LM1,,0.32,2.58,1.86,0.27,0.01,0.45,28,63,67,11,22,17
LM2,3.94,0.43,2.97,1.56,0.35,0.01,0.38,17,37,89,7,16,24
LM6,,0.36,2.39,0.9,0.56,0.01,0.2,22,63,63,5,13,16
LM7,,0.37,3.03,0.41,0.36,0.01,0.17,19,53,50,6,12,24
LM8,,0.33,2.47,0.89,0.51,0.01,0.22,22,65,58,5,15,15
LM9,2.96,0.28,4.52,2.17,0.37,0.01,0.32,15,86,150,6,23,69
LM10,3.29,0.36,4.89,1.67,0.35,0.01,0.29,22,75,72,7,21,18
LM11,3.23,0.34,4.82,1.57,0.41,0.01,0.27,26,96,88,9,15,16
LM12,3.12,0.45,3.62,2.28,0.32,0.01,0.33,47,148,72,9,21,14
LM13,2.84,0.4,4.07,1.74,0.33,0.01,0.31,30,129,64,8,16,14
LM14,2.41,0.48,3.4,2.57,0.45,0.01,0.19,36,203,78,7,22,26
LM15,3.13,0.54,3.75,1.64,0.5,0.01,0.24,37,95,49,10,18,9
LM16,3.02,0.45,3.69,1.58,0.47,0.01,0.22,33,99,45,8,15,6
LM17,2.89,0.32,3.25,1.66,0.47,0.01,0.21,19,98,51,6,29,18
LM18,2.5,0.48,3.22,1.95,0.41,0.01,0.23,37,151,48,6,15,14
LM19,3.62,0.42,3,2.33,0.32,0.01,0.25,39,118,57,10,36,11
LM20,2.94,0.24,4,0.76,0.33,0.01,0.32,21,67,69,7,12,18
LM21,2.77,0.2,3.09,1.48,0.4,0.01,0.45,14,70,109,7,13,37
LM22,2.35,0.21,3.73,1.16,0.32,0.01,0.37,21,79,147,7,13,58
LM23,2.37,0.2,2.64,1.54,0.43,0.01,0.36,21,41,83,6,17,30
LM24,2.44,0.2,2.8,0.97,0.3,0.01,0.26,16,53,63,7,15,18
LM25,2.71,0.26,3.29,1.18,0.38,0.01,0.21,26,84,87,6,13,28
LM26,2.46,0.19,3.08,1.74,0.43,0.01,0.31,20,50,96,6,19,34
LM27,2.77,0.29,3.24,0.87,0.28,0.01,0.23,23,52,58,6,12,16
LM28,2.43,0.23,2.66,1.02,0.28,0.01,0.16,32,74,69,6,15,19
MKP1,1.7,0.11,1.77,1.24,0.72,0.01,0.2,16,44,53,5,18,21
MKP2,2.91,0.14,1.6,1.71,0.73,0.01,0.27,20,58,53,8,18,17
MKP3,2.24,0.11,1.53,1.15,0.65,0.01,0.19,17,32,65,6,13,27
MKP4,2.62,0.15,2.83,1.43,1.02,0.01,0.24,18,39,63,7,17,32
MKP5,2.85,0.17,1.43,1.73,1.17,0.01,0.31,18,24,61,7,24,23
MKP6,2.62,0.2,0.72,1.6,1.22,0.01,0.36,47,59,50,5,21,18
MKP7,2.69,0.19,0.99,1.46,1.18,0.01,0.38,45,37,54,5,24,23
MKP8,1.63,0.15,1.94,1.06,0.76,0.01,0.23,34,35,35,3,21,16
RF1,2.51,0.26,2.06,0.8,0.28,0.01,0.46,28,635,38,8,19,48
RF2,2.38,0.19,1.45,1.29,0.68,0.01,0.19,14,177,41,5,17,11
RF3,2.28,0.19,1.47,1.64,0.63,0.01,0.24,14,302,41,5,19,27
RF4,2.28,0.2,1.29,1.4,0.82,0.01,0.19,16,214,38,5,21,14
RF5,2.6,0.23,1.97,1.08,0.73,0.01,0.21,14,159,36,5,23,14
RF6,2.07,0.2,1.94,1.16,0.7,0.01,0.22,10,142,37,5,16,15
RF7,2.2,0.25,3.45,1.15,0.55,0.01,0.32,19,234,36,5,34,20
RF8,2.35,0.23,1.96,0.86,0.59,0.01,0.16,13,108,33,4,18,17
RF9,2.68,0.24,2.43,0.59,0.4,0.01,0.19,17,81,42,5,12,20
RF10,2.26,0.25,2.75,1.09,0.6,0.01,0.34,26,212,34,4,16,20
RF11,2.84,0.37,3.2,0.97,0.49,0.03,0.24,31,117,46,7,24,25
RF12,2.48,0.23,2.41,1.16,0.6,0.01,0.27,22,388,55,7,20,51
RF13,2.69,0.18,1.31,0.54,0.23,0.01,0.25,34,515,66,8,23,84
TCP1,2.08,0.15,1.28,1.82,0.41,0.01,0.37,11,26,52,5,16,22
TCP2,2.5,0.15,1.54,1.41,0.3,0.01,0.34,11,25,66,5,17,26
TCP3,2.53,0.15,2.09,1.87,0.27,0.01,0.3,17,28,63,6,26,23
TCP4,2.31,0.16,1.65,1.78,0.25,0.01,0.3,12,21,74,6,21,30
TCP5,2.45,0.17,1.75,1.96,0.27,0.01,0.33,15,16,53,6,28,17
TCP6,2.66,0.14,1.95,1.23,0.22,0.01,0.24,14,20,60,8,21,24
TCP7,3.17,0.14,1.81,1.74,0.33,0.01,0.47,19,28,69,6,22,20
TCP8,2.62,0.14,1.25,1.65,0.33,0.01,0.4,15,26,59,5,19,20
TCP9,2.85,0.14,1.97,1.82,0.31,0.01,0.42,19,20,53,8,30,24
TCP10,3.22,0.19,2.37,1.63,0.29,0.01,0.19,14,14,57,7,35,28
PNR1,2.23,0.28,3.38,1.25,0.6,0.01,0.17,14,86,39,6,27,10
PNR2,2.55,0.4,4.21,2,0.39,0.01,0.34,20,29,43,7,36,11
PNR3,2.64,0.42,3.92,1.57,0.33,0.01,0.26,22,26,42,8,22,10
PNR4,2.57,0.37,4.12,1.96,0.35,0.01,0.42,23,35,42,10,27,9
PNR5,2.68,0.34,4.49,2.05,0.29,0.01,0.43,18,38,51,7,42,13
PNR6,3.09,0.45,2.85,1.62,0.51,0.01,0.32,19,58,100,11,28,68
PNR7,2.91,0.51,1.95,2.08,0.59,0.01,0.27,54,103,53,11,34,14
PNR8,2.59,0.48,1.74,2.23,0.64,0.01,0.24,19,73,60,8,26,21
PNR9,3.21,0.5,2.51,2,0.53,0.01,0.27,18,75,54,10,40,17
PNR11,3.34,0.48,3.56,1.5,0.36,0.01,0.28,24,90,53,14,33,18
PNR13,1.91,0.21,1.55,2.33,0.55,0.01,0.35,13,39,103,5,21,40
PNR14,2.91,0.24,2.32,2.03,0.53,0.08,0.32,14,71,67,6,25,21
PNR15,2.72,0.22,2.13,2.4,0.6,0.06,0.38,12,30,50,6,34,26
PNR16,2,0.2,1.48,2.89,0.71,0.01,0.45,16,38,48,4,28,17
