sample_id,site,OM,ENR,CEC,pH,BpH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron
8 BLDTT26,BLDTT,4.1,124,5.3,5.8,6.83,18,165,591,103,6,10,2,185,144,1.6,0.3
8 BLDTT27,BLDTT,5.1,145,5.2,5.9,6.84,22,172,607,94,5,7,2.1,238,147,1.8,0.4
8 BLDTT28,BLDTT,5.6,150,7.3,6,6.82,23,217,911,131,7,10,3.4,259,181,2.1,0.5
8 BLDTT29,BLDTT,6.5,150,5.7,5.9,6.83,24,209,670,90,12,7,2.8,267,164,1.8,0.4
8 BLDTT3,BLDTT,6.8,150,12.9,6.9,6.91,21,262,1737,390,17,12,4.1,337,82,1.6,1
8 BLDTT30,BLDTT,5.5,150,4.6,5.6,6.82,23,80,523,73,8,9,2.4,253,196,1.6,0.4
8 BLDTT31,BLDTT,5.8,150,7.3,6.2,6.84,20,116,1036,107,1,9,2.3,296,159,1.9,0.5
8 BLDTT32,BLDTT,5.1,143,6.6,6.1,6.84,20,128,932,80,10,8,2.7,262,169,2,0.5
8 BLDTT33,BLDTT,4.8,136,7.2,5.9,6.81,15,135,932,109,10,9,2.3,283,175,2.1,0.5
8 BLDTT34,BLDTT,6.4,150,6,6.3,6.87,17,278,764,97,7,9,2.4,266,191,1.7,0.5
8 BLDTT35,BLDTT,5.6,150,6.3,5.8,6.81,15,162,745,112,6,9,2.4,221,233,2,0.5
8 BLDTT36,BLDTT,3.4,109,6.2,6.1,6.84,13,293,709,121,6,10,2,199,193,1.7,0.5
8 BLDTT37,BLDTT,4.4,129,6.4,6,6.83,13,184,809,101,4,7,2.1,176,143,1.8,0.5
8 BLDTT38,BLDTT,5.5,150,7.1,6,6.82,14,209,855,143,9,8,2.4,175,202,1.9,0.5
8 BLDTT39,BLDTT,5.7,150,8.7,5.9,6.78,16,178,1007,201,7,9,2.4,111,177,1.8,0.5
8 BLDTT4,BLDTT,5.7,149,10.2,6.8,6.9,16,249,1378,285,6,9,2.9,333,95,1.3,0.7
8 BLDTT40,BLDTT,5.7,150,8.1,5.9,6.79,15,228,909,186,11,10,2.1,110,164,1.8,0.4
8 BLDTT41,BLDTT,3.9,117,7.8,6.3,6.85,16,290,960,166,13,7,1.9,104,108,1.6,0.5
8 BLDTT42,BLDTT,4.4,128,7.1,6,6.82,13,234,870,122,10,7,1.6,90,95,1.7,0.3
8 BLDTT43,BLDTT,4.9,138,7,5.8,6.8,15,217,768,157,8,8,1.7,79,104,1.2,0.4
8 BLDTT44,BLDTT,5.9,150,7.5,6.4,6.86,14,224,966,167,3,7,1.8,95,70,1.4,0.4
8 BLDTT45,BLDTT,6.1,150,8.2,6,6.8,17,298,901,194,8,9,2.4,89,118,1.3,0.4
8 BLDTT46,BLDTT,4.8,134,8.6,6.6,6.88,12,137,1277,156,2,8,2.1,204,59,0.9,0.6
8 BLDTT5,BLDTT,5.4,145,9.1,6,6.79,22,219,1050,227,10,9,3,135,99,1.3,0.5
8 BLDTT6,BLDTT,5.5,147,9.1,6.2,6.82,28,308,969,284,9,10,2.7,154,88,1.1,0.5
8 BLDTT7,BLDTT,4.5,131,6,6,6.84,21,165,686,147,6,9,1.6,110,86,1,0.3
8 BLDTT8,BLDTT,5,140,6.8,5.9,6.81,26,181,766,153,6,10,2.1,103,107,1.1,0.3
8 BLDTT9,BLDTT,4.7,136,5.9,6,6.84,25,180,690,121,11,7,1.9,109,81,1,0.3
8BLDTT1,BLDTT,5.4,146,8.5,6.5,6.87,16,188,1117,221,7,8,2.7,261,82,1.2,0.6
1 BLDTT47,BLDTT,3.8,116,7.2,6.1,6.83,15,148,889,163,5,9,1.6,140,100,1.1,0.4
1 BLDTT48,BLDTT,4.3,124,8.1,6.2,6.83,14,240,1038,157,3,7,1.6,186,81,1.3,0.4
1 BLDTT49,BLDTT,5.7,150,9.9,6.8,6.9,13,207,1440,220,2,8,2,252,77,1.2,0.8
1 BLDTT50,BLDTT,5.7,149,10.7,6.5,6.85,14,168,1538,204,3,9,2.2,144,82,1.2,0.6
1 BLDTT51,BLDTT,4.5,132,5.3,6.3,6.87,11,103,638,142,7,8,1.3,143,75,0.9,0.3
1 BLDTT52,BLDTT,5,137,9,5.7,6.74,18,192,1018,179,7,8,2.3,172,82,1.2,0.4
8 BLDTT47,BLDTT,4.4,127,7.5,6.1,6.83,16,150,956,152,10,9,1.6,157,110,1.1,0.5
8 BLDTT48,BLDTT,4.6,130,8.3,6.5,6.87,12,242,1092,186,11,8,1.7,194,86,1.3,0.5
8 BLDTT49,BLDTT,6.5,150,11.3,6.8,6.9,25,178,1655,263,6,12,3.2,255,102,1.3,0.9
8 BLDTT50,BLDTT,5.5,145,10.7,6.3,6.82,13,217,1369,259,6,9,2.3,160,93,1.3,0.7
8 BLDTT51,BLDTT,3.1,109,2.2,6.5,6.91,8,36,281,59,2,7,0.6,83,51,0.3,0.2
8 BLDTT52,BLDTT,5.3,144,8.1,6.1,6.82,29,315,969,154,6,7,3.1,107,86,1.2,0.6
BLDRV1-,BLDRV,4.6,131,7.6,6.2,6.84,10,235,984,134,5,7,1.6,22,56,0.8,0.4
BLDRV12,BLDRV,4.6,131,7.4,6.2,6.84,13,253,937,140,4,7,1.7,28,57,0.7,0.5
BLDRV19,BLDRV,3.8,117,6.1,6.2,6.86,22,178,739,149,6,8,1.6,83,90,0.6,0.3
BLDRV2,BLDRV,4.3,127,6.5,6.1,6.84,9,201,790,129,7,8,1.6,37,71,0.7,0.3
BTU1,BTU,4.4,125,9.2,6.8,6.9,17,121,1488,130,1,13,7.5,80,132,4.6,0.7
BTU2,BTU,3.8,116,7.2,6.7,6.9,12,79,1146,108,3,10,5.9,69,112,4.5,0.6
BTU3,BTU,5.6,145,11.9,6.1,6.77,27,170,1599,219,2,13,12.1,55,134,4.2,0.7
BTU4,BTU,5,138,8.6,6.9,6.92,15,105,1407,137,1,10,4.9,71,138,3.5,0.9
BTU5,BTU,4.2,122,8.1,6.6,6.88,11,70,1294,113,4,11,4.8,60,142,3.5,0.7
BTU6,BTU,6.1,150,5.1,5.9,6.84,9,92,629,90,7,10,2.1,33,117,2.4,0.2
BTU7,BTU,5.5,148,8.4,6,6.8,8,76,1193,109,2,11,4.1,41,163,3.6,0.4
