,V1,V2,Name,Name_1,Species,Taxa,species,PC1,PC2,PC3,PC4,PC5,Unnamed: 7
128,0.119788247,0.880211753,SLG17,SLG17-syriaca,syriaca,SLG17,syriaca,-0.13248827,-0.09354293,-0.024119437,0.098862045,0.015781797,
129,1.1e-05,0.99998903,LM10,LM10-syriaca,syriaca,LM10,syriaca,-0.15124053,0.058192227,-0.005669976,0.031059628,0.01991905,
130,0.078839017,0.921160983,LM18,LM18-syriaca,syriaca,LM18,syriaca,-0.13517128,-0.072032504,-0.04245437,0.05020922,0.04545799,
131,0.022240909,0.977759091,LM28,LM28-syriaca,syriaca,LM28,syriaca,-0.15968429,-0.011477605,-0.008866748,-0.005382933,-0.032888845,
132,0.001406958,0.998593042,MKP8,MKP8-syriaca,syriaca,MKP8,syriaca,-0.141526,-0.008287003,-0.005920812,-0.010369375,0.014277454,
133,1.27e-05,0.999987321,RF8,RF8-syriaca,syriaca,RF8,syriaca,-0.14614856,0.022480957,-0.003261458,-0.025468005,0.00607383,
134,0.749654248,0.250345752,LFS6,LFS6-exaltata,exaltata,LFS6,exaltata,0.19801289,0.024757607,-0.00892086,0.000781,0.01066535,
135,0.750223701,0.249776299,LFS15,LFS15-exaltata,exaltata,LFS15,exaltata,0.16714054,0.047781292,-0.0247278,-0.021874605,-0.034045044,
136,5.87e-08,0.999999941,RGT4,RGT4-syriaca,syriaca,RGT4,syriaca,-0.15540215,0.12540714,0.02480554,-0.04463607,-0.01361748,
137,0.871563798,0.128436202,HR5,HR5-quadrifolia,quadrifolia,HR5,quadrifolia,0.22797821,-0.0738076,0.011613997,-0.013360748,0.15522833,
138,0.858935193,0.141064807,PTW7,PTW7-exaltata,exaltata,PTW7,exaltata,0.23331234,-0.025517404,-0.045188393,-0.021589246,-0.045538723,
139,0.900746891,0.099253109,LM3,LM3-quadrifolia,quadrifolia,LM3,quadrifolia,0.2342754,-0.10005462,-0.003106752,-0.01407674,0.14931569,
140,2.79e-06,0.999997212,LM11,LM11-syriaca,syriaca,LM11,syriaca,-0.15644804,0.03973245,-0.001802433,0.05426307,0.033506904,
141,0.03928805,0.96071195,MKP1,MKP1-syriaca,syriaca,MKP1,syriaca,-0.14044514,-0.02565258,0.003046721,-0.002687147,0.011338972,
142,0.099873754,0.900126246,RF1,RF1-syriaca,syriaca,RF1,syriaca,-0.13320608,-0.08687521,-0.014813569,-0.008473865,-0.022269186,
143,0.010697208,0.989302792,RF9,RF9-syriaca,syriaca,RF9,syriaca,-0.15105805,0.002563866,0.013095847,-0.037288498,-0.0138433,
144,0.729682582,0.270317418,LFS7,LFS7-exaltata,exaltata,LFS7,exaltata,0.17719644,0.05958963,-0.010165001,0.002330665,-0.008198241,
145,0.934082753,0.065917247,SGC1,SGC1-,,,,,,,,,
146,8.98e-07,0.999999102,SGC9,SGC9-,,,,,,,,,
147,0.000491581,0.999508419,RGT5,RGT5-syriaca,syriaca,RGT5,syriaca,-0.15488304,0.13445702,0.042844284,-0.04662212,0.011376651,
148,0.740682725,0.259317275,HR6,HR6-quadrifolia,quadrifolia,HR6,quadrifolia,0.17038587,0.001165478,0.016023548,-0.026297715,0.13365489,
149,0.622845958,0.377154042,PTW8,PTW8-exaltata,exaltata,PTW8,exaltata,0.1286828,0.037533168,0.02752873,-0.02621381,0.11247898,
150,0.006060674,0.993939326,LM12,LM12-syriaca,syriaca,LM12,syriaca,-0.14721128,-0.002324198,-0.01882453,0.05884237,0.016840542,
151,3.15e-07,0.999999685,LM20,LM20-syriaca,syriaca,LM20,syriaca,-0.14461689,0.055093754,0.02695653,0.006439617,0.024980776,
152,0.022972569,0.977027431,MKP2,MKP2-syriaca,syriaca,MKP2,syriaca,-0.14775181,-4.52e-05,0.001904717,-0.025417019,0.02902095,
153,0.073558211,0.926441789,RF2,RF2-syriaca,syriaca,RF2,syriaca,-0.13806543,-0.001010613,0.003304543,-0.017658273,-0.021717524,
154,0.040955178,0.959044822,RF10,RF10-syriaca,syriaca,RF10,syriaca,-0.13720673,0.029903393,0.022271907,-0.04876577,-0.010880322,
155,0.757396793,0.242603207,LFS8,LFS8-exaltata,exaltata,LFS8,exaltata,0.18760914,0.018774865,-0.0498852,-0.0299861,0.019067645,
156,0.736406615,0.263593385,SGC2,SGC2-,,,,,,,,,
157,0.000853463,0.999146537,SGC10,SGC10-,,,,,,,,,
158,2.87e-05,0.999971273,RGT6,RGT6-syriaca,syriaca,RGT6,syriaca,-0.15684064,0.05008417,-0.008351219,-0.00561308,0.016766625,
159,0.91275769,0.08724231,PTW1,PTW1-exaltata,exaltata,PTW1,exaltata,0.2555181,-0.016012326,-0.029967714,-0.002274369,-0.010248253,
160,0.686040116,0.313959884,PTW9,PTW9-exaltata,exaltata,PTW9,exaltata,0.13831177,0.001287779,0.00131856,-0.025895609,0.11134447,
161,0.006113067,0.993886933,LM13,LM13-syriaca,syriaca,LM13,syriaca,-0.15562636,0.023697168,-0.018368958,0.053919375,0.04733111,
162,0.000919164,0.999080836,LM21,LM21-syriaca,syriaca,LM21,syriaca,-0.16491607,0.112124786,0.027006945,-0.015419437,0.016364114,
163,0.0583956,0.9416044,MKP3,MKP3-syriaca,syriaca,MKP3,syriaca,-0.13771477,-0.029469365,0.015887395,0.002276755,0.042584646,
164,0.015852257,0.984147743,RF3,RF3-syriaca,syriaca,RF3,syriaca,-0.13893817,-0.028526489,0.006190492,-0.030669004,-0.01667366,
165,0.006685551,0.993314449,RF11,RF11-syriaca,syriaca,RF11,syriaca,-0.14768954,0.014420991,0.010717831,-0.031881016,-0.005271089,
166,0.465791189,0.534208811,LFS9,LFS9-exaltata,exaltata,LFS9,exaltata,0.05297256,0.14661801,0.003782139,-0.01699149,0.001724143,
167,0.667995001,0.332004999,SGC3,SGC3-,,,,,,,,,
168,2.43e-09,0.999999998,SGC11,SGC11-,,,,,,,,,
169,6.5e-07,0.99999935,RGT7,RGT7-syriaca,syriaca,RGT7,syriaca,-0.15302967,0.06914793,0.015915968,0.00083,-0.008221841,
170,0.900575798,0.099424202,PTW2,PTW2-exaltata,exaltata,PTW2,exaltata,0.2551193,-0.039583184,-0.014060517,-0.017520392,-0.018805088,
171,0.211879229,0.788120771,PTW10,PTW10-exaltata,exaltata,PTW10,exaltata,-0.06581477,0.06480811,-0.019444795,-0.016633324,-0.014888222,
172,3.79e-06,0.999996209,LM14,LM14-syriaca,syriaca,LM14,syriaca,-0.14492443,0.056391615,-0.007988784,0.038071696,0.01377531,
173,0.00386255,0.99613745,LM22,LM22-syriaca,syriaca,LM22,syriaca,-0.15881658,0.06644624,0.016647764,-0.005051349,0.025458593,
174,2.38e-06,0.999997617,MKP4,MKP4-syriaca,syriaca,MKP4,syriaca,-0.15207084,0.014235663,0.012283466,-0.018206552,0.018659767,
175,0.067115809,0.932884191,RF4,RF4-syriaca,syriaca,RF4,syriaca,-0.13496968,-0.003746383,-0.002667669,-0.003660792,-0.008746539,
176,0.066615797,0.933384203,RF12,RF12-syriaca,syriaca,RF12,syriaca,-0.13687366,0.008389514,0.022290774,-0.002656518,-0.010559208,
177,0.246073424,0.753926576,NC_exaltata1,NC_exaltata1,,,,,,,,,
178,0.283646456,0.716353544,NC_exaltata3,NC_exaltata3,,,,,,,,,
179,0.740624816,0.259375184,NC_exaltata5,NC_exaltata5,,,,,,,,,
180,0.852129159,0.147870841,NC_exaltata7,NC_exaltata7,,,,,,,,,
181,0.661691575,0.338308425,NC_exaltata9,NC_exaltata9,,,,,,,,,
182,0.839995728,0.160004272,NC_exaltata13,NC_exaltata13,,,,,,,,,
183,0.999997786,2.21e-06,NC_exaltata15,NC_exaltata15,,,,,,,,,
184,0.871025458,0.128974542,NC_exaltata17,NC_exaltata17,,,,,,,,,
185,0.144082212,0.855917788,ARROW2_S47,ARROW2_S47,,,,,,,,,
186,0.256239285,0.743760715,NC_exaltata25,NC_exaltata25,,,,,,,,,
