,V1,V2,Name,Species,PC1,PC2,PC3,PC4,PC5
25,0.584172845,0.415827155,RRL11,exaltata,0.10689447,0.08874242,0.007518571999999999,-0.007987799,0.002289367
26,0.67808708,0.32191292,RRL19,exaltata,0.13543402,0.06626358,0.001924889,-0.02772644,-0.02744266
28,1.25e-05,0.9999874559999999,MMP1,syriaca,-0.15812914,0.12986201,0.027166383,0.009137278,5.7100000000000006e-05
29,0.09504751300000001,0.9049524870000001,MMP9,syriaca,-0.13185757,-0.002844415,-0.01855865,0.09842658,-0.007394800000000001
30,0.00387861,0.99612139,MMP17,syriaca,-0.15201826,0.00150741,-0.001208941,0.04145332,-0.025159882
31,0.001452347,0.9985476529999999,CMB15,syriaca,-0.15964453,0.09443791,0.000697,0.030247176,0.01359877
32,0.017364404,0.982635596,CMB23,syriaca,-0.14976375,0.08615787,0.002160819,0.049274175999999996,0.0041028390000000005
33,0.55184294,0.44815706,SLG3,exaltata,0.07380083,0.12801777,2.1600000000000003e-05,-0.004363012,0.007745206
34,0.000478191,0.9995218090000001,SLG16,syriaca,-0.1455948,0.049154915,0.007177047,0.017174711000000002,-0.03511055
35,0.7203666320000001,0.279633368,RRL4,exaltata,0.16716675,0.046052895,-0.03275362,-0.01619174,-0.028987776
36,0.621389434,0.37861056600000004,RRL12,exaltata,0.11151429,0.09284633,-0.022550507,-0.010786428,0.02173912
37,0.8875281690000001,0.112471831,RRL20,exaltata,0.24481441,-0.029296784,-0.05097307,0.022966,-0.003321986
38,0.036645926,0.9633540740000001,FRW6,syriaca,-0.14287516,0.017579366000000003,-0.017795293,-0.042355277000000004,0.0013509
39,0.071215825,0.928784175,MMP2,syriaca,-0.12417936,-0.015794229,-0.04933872,0.10663601,-0.011737339
40,0.007940276,0.9920597240000001,MMP10,syriaca,-0.14457679999999998,0.04187835,-0.019908447,0.08724277,-0.028641338
41,0.033889231,0.966110769,MMP18,syriaca,-0.14317183,-0.038980447,-0.022789845,0.059778072,0.000602
42,3.39e-08,0.999999966,CMB8,syriaca,-0.15503271,0.037725743,-0.01931601,0.05303768,0.030728143
43,0.000756517,0.999243483,CMB16,syriaca,-0.15571678,0.10368895,0.007176627,0.03675893,0.009531777
44,7.56e-14,1.0,CMB24,syriaca,-0.15495738,0.075662374,-0.0045086990000000006,0.039805334,0.012562014
45,0.58747301,0.41252699,SLG4,exaltata,0.11107878,0.09837058,-0.010987682,-0.010208701,0.012288958
46,0.039166072999999996,0.960833927,SLG18,syriaca,-0.13163866,0.06414740000000001,0.023457406,0.045087833,-0.019971902
47,0.572487362,0.42751263799999994,RRL5,exaltata,0.099801056,0.089800246,0.0006129999999999999,-0.004978875,0.017524144
48,0.85686537,0.14313463,RRL13,exaltata,0.22435994,0.00349323,-0.048505127,0.012705103999999998,-6.64e-05
49,0.7884016490000001,0.21159835100000002,RRL21,exaltata,0.18486333,0.038645357000000005,-0.017773215,-0.0068817190000000006,-0.02167732
50,0.307026774,0.6929732259999999,FRW8,syriaca,-0.030449254,0.061606746,0.033927687000000005,-0.043926768,0.028653517000000003
51,0.078399348,0.9216006520000001,MMP3,syriaca,-0.12796435,-0.003279877,-0.026042145,0.07243126,-0.015351015
52,0.0906216,0.9093783999999999,MMP11,syriaca,-0.12527741,0.026658397,-0.01715776,0.03462207,-0.0017897000000000002
53,0.049977275,0.950022725,MMP19,syriaca,-0.14824419,-0.04528984,-0.009745454,0.017110271,-0.001419017
54,1.93e-06,0.9999980740000001,CMB9,syriaca,-0.14337261,0.04853314,-0.034413423,0.05159413400000001,0.030147282
55,1.55e-16,1.0,CMB17,syriaca,-0.15460451,0.093484275,-0.010877033999999999,0.015420238999999999,0.037434727
56,0.030505643,0.9694943570000001,CMB25,syriaca,-0.14028692,0.06712972,0.0034712890000000002,0.05179571400000001,0.030155314
57,0.692085273,0.307914727,SLG5,exaltata,0.13135345,0.08150223,0.007732876,0.00689031,0.019974845
58,0.00016218799999999999,0.999837812,SLG15,syriaca,-0.1487375,0.030116305,-0.008810903,-0.042565915999999995,0.002475466
59,0.653961475,0.346038525,RRL6,exaltata,0.12861019999999998,0.07695500599999999,0.020429322,-0.053479097999999996,0.015590372
60,0.791174713,0.208825287,RRL22,exaltata,0.19200355,0.02269861,-0.027640121,-0.021896966,0.010762543999999999
61,0.050382792999999995,0.9496172070000001,FRW9,syriaca,-0.13071892,-0.0482077,0.020033317,-0.056307882000000004,-0.00951446
62,6.25e-05,0.9999375009999999,MMP4,syriaca,-0.1499364,0.01495103,-0.04016587,0.07605076,-0.011182042
63,0.011954583000000001,0.988045417,MMP12,syriaca,-0.14666118,0.10478699999999999,0.029031765,-0.000857,-0.019812906
64,1.72e-06,0.999998278,MMP20,syriaca,-0.14998247,0.07842438,0.040867843,-0.036443803,-0.003423307
65,0.00022287900000000002,0.9997771209999999,CMB10,syriaca,-0.15026888,0.041661996,-0.01522678,0.06184924,0.043956388
66,4.41e-09,0.9999999959999999,CMB18,syriaca,-0.14834158,0.08543351,0.008185689,0.022763671,-0.005446793
67,0.0016491829999999998,0.9983508170000001,CMB26,syriaca,-0.15305771,0.09113132,-0.011045889,0.034102075,0.012588766000000001
