,V1,V2,Name,Name_1
259,0.128206271,0.871793729,MABI2_S19,MABI2_S19
260,0.00748528,0.99251472,MAMM2_S63,MAMM2_S63
261,0.086890789,0.913109211,MANA5_S70,MANA5_S70
262,0.001880724,0.998119276,MAVA2_S32,MAVA2_S32
263,0.21517854,0.78482146,MEPA1_S20,MEPA1_S20
264,6.38e-16,1.0,MIMA2_S62,MIMA2_S62
265,0.059018648,0.940981352,MNRR3_S57,MNRR3_S57
266,0.136961145,0.863038855,NACH1_S27,NACH1_S27
267,0.108325958,0.891674042,NDSU2_S69,NDSU2_S69
268,0.215976003,0.784023997,OMAHA2_S35,OMAHA2_S35
269,0.076558746,0.923441254,PWA5_S24,PWA5_S24
270,0.081625176,0.918374824,RES2_S23,RES2_S23
271,0.142845844,0.857154156,RMN3_S64,RMN3_S64
272,0.060924805,0.939075195,SAGA2_S59,SAGA2_S59
273,0.120752387,0.879247613,SAND1_S68,SAND1_S68
274,0.194746379,0.805253621,SEPAC2_S34,SEPAC2_S34
275,0.156987611,0.843012389,SHAW2_S30,SHAW2_S30
276,0.116103451,0.883896549,SHEED2_S37,SHEED2_S37
277,0.111318854,0.888681146,SKYY2B_S41,SKYY2B_S41
278,0.064388897,0.935611103,SNP2_S52,SNP2_S52
279,0.006931575,0.993068425,SNRB2_S43,SNRB2_S43
280,0.067903897,0.932096103,STGA1_S65,STGA1_S65
281,0.240690937,0.759309063,TPKS4_S26,TPKS4_S26
282,0.099740932,0.900259068,TPPOK2_S22,TPPOK2_S22
283,0.101280545,0.898719455,UNI2_S60,UNI2_S60
284,0.229632645,0.770367355,WATER1_S31,WATER1_S31
285,0.125338468,0.874661532,WEIR2_S29,WEIR2_S29
286,0.047239741,0.952760259,ZEE1_S33,ZEE1_S33
