Species,Site,Organic_Matter,pH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron
syriaca,MMP,31.8,5.6,46,122,1614,199,20,15,9.6,28,51,0.6,0.4
syriaca,MMP,24.9,5.3,39,136,1373,202,19,15,6.2,23,45,0.5,0.4
syriaca,MMP,28.3,5.6,48,129,2234,255,22,18,12.7,36,65,0.6,0.4
syriaca,MMP,28.2,6,69,145,2285,316,21,15,14.1,44,56,0.6,0.6
syriaca,MMP,28.2,5.7,61,141,1855,267,19,15,12.6,37,60,0.6,0.5
syriaca,CMB,32.7,4.8,105,95,649,115,25,14,11.1,25,97,0.5,0.2
syriaca,CMB,32.1,4.7,44,97,619,95,24,14,9.2,18,74,0.5,0.2
syriaca,CMB,29.2,4.9,60,91,805,139,20,14,11.5,19,80,0.5,0.2
syriaca,CMB,33,4.8,60,81,665,102,25,18,10.9,17,88,0.5,0.2
syriaca,CMB,29.4,5.1,36,122,713,139,22,23,11.1,16,81,0.5,0.3
syriaca,CMB,28.7,5.6,51,155,1222,208,22,16,12.3,21,77,0.4,0.3
syriaca,CMB,27.2,5.4,44,174,1132,151,22,15,14.3,22,83,0.5,0.3
syriaca,CMB,25.6,5.7,88,139,1557,275,18,14,13.8,29,81,0.4,0.4
syriaca,CMB,24.2,5.5,47,143,1371,231,18,15,14.5,20,88,0.5,0.4
syriaca,CMB,23.7,5.1,77,111,1163,179,16,14,12.4,26,78,0.5,0.3
syriaca,CMB,31.1,4.9,52,105,1184,190,19,15,17,17,91,0.5,0.3
syriaca,CMB,32.4,5.3,72,104,925,168,22,14,11,24,88,0.4,0.3
syriaca,CMB,36.9,5.4,70,176,1436,193,20,17,19.5,33,111,0.5,0.3
syriaca,CMB,23.6,4.9,50,118,989,143,24,13,12.8,21,97,0.5,0.3
syriaca,CMB,30.5,5.8,112,171,1624,262,19,17,15.9,56,77,0.5,0.4
syriaca,CMB,24.5,5.4,49,172,1255,183,21,17,16.3,30,125,0.5,0.3
syriaca,CMB,27.2,5.3,71,164,819,159,21,16,14.7,33,80,0.5,0.3
syriaca,CMB,22.8,5.1,42,102,749,109,21,15,8.7,16,79,0.4,0.2
syriaca,CMB,23.6,5.5,107,124,1230,321,17,14,12.8,19,81,0.6,0.3
syriaca,MMP,23.7,5.2,55,150,1599,193,23,15,11,35,61,0.6,0.5
syriaca,SLG,9.9,5.4,27,75,862,130,12,16,5.3,35,105,0.6,0.1
syriaca,SLG,15,6.6,37,88,2357,342,8,13,11.6,40,55,0.7,0.5
syriaca,RGT,12.1,6.6,42,156,2831,240,13,16,8.5,59,121,2,1.3
syriaca,RGT,12,6.7,57,227,2492,209,10,15,4.4,60,98,1.1,1
syriaca,RGT,11.5,6.7,61,238,2720,226,10,16,4,68,92,1,1
syriaca,RGT,12.1,6.4,67,176,2181,249,10,16,4,55,95,1,0.6
syriaca,RGT,12.3,6.2,69,140,2264,274,6,14,3.4,72,100,1.2,0.8
syriaca,RGT,12.4,6.9,80,191,3411,486,10,15,3.7,75,120,2.1,1.2
syriaca,RGT,13.7,7,72,111,3588,329,12,15,4.7,69,101,1.5,1.1
syriaca,SGC,11.5,5.9,13,96,855,116,9,15,2.6,50,87,0.5,0.2
syriaca,SGC,10.2,6,9,110,1071,150,9,14,2.4,63,82,0.6,0.3
syriaca,SGC,9.6,5.9,5,145,1098,131,7,14,1.9,50,92,0.6,0.3
syriaca,SGC,13.9,5.6,20,135,1331,171,9,15,3.9,110,82,0.7,0.3
syriaca,SGC,9.3,5.2,9,216,820,174,9,15,1.9,75,96,0.8,0.2
syriaca,SGC,11.1,5.9,10,117,1456,194,9,16,2.3,77,89,0.6,0.3
syriaca,LM,41,5.7,26,72,786,95,12,15,5.5,181,78,0.6,0.2
syriaca,LM,9.2,6.3,247,251,2098,216,10,15,13.4,30,121,2.9,0.9
syriaca,LM,9.4,6.3,171,243,1594,220,10,14,6.7,37,108,1.3,0.6
syriaca,LM,9,5.7,141,196,1437,171,9,15,11.4,31,143,2.2,0.4
syriaca,LM,8.9,6.2,164,189,1505,198,11,15,9.7,34,103,1.6,0.5
syriaca,LM,11.9,5.8,181,213,2006,196,9,15,9.8,48,107,1.9,0.6
syriaca,LM,10.1,6.1,218,177,2083,226,12,15,12.4,29,122,2.5,0.7
syriaca,LM,10.2,6.2,257,249,2140,292,10,15,17.6,42,157,3.6,0.7
syriaca,LM,13,5.9,233,131,2410,174,12,16,24.1,52,117,2.8,0.8
syriaca,LM,11.3,5.9,234,261,2248,200,13,16,17.9,42,113,2.7,0.7
syriaca,LM,15.8,6,297,197,2862,217,11,15,22.3,35,115,3.8,1.1
syriaca,LM,7,5.4,57,112,855,133,11,14,3.3,26,138,1.2,0.2
syriaca,LM,11.1,5.7,63,242,1142,241,10,14,11.2,28,133,0.8,0.4
syriaca,LM,10.6,5.5,56,389,1269,348,14,19,11.1,32,194,1.4,0.4
syriaca,LM,11.1,5.7,48,140,1249,224,7,15,7.8,22,95,0.7,0.4
syriaca,LM,5.8,5.6,84,157,435,76,12,14,1,18,88,0.9,0.1
syriaca,LM,4.9,5.6,101,96,690,76,13,14,1.6,19,106,1.2,0.1
syriaca,LM,9.1,6.2,225,193,1802,160,12,16,12.3,29,127,2.7,0.6
syriaca,LM,14.6,6,78,230,1957,356,10,16,9.6,43,135,1,0.6
syriaca,LM,11.3,5.6,72,198,1592,282,11,16,10.6,37,149,1.3,0.5
syriaca,LM,8.3,5.7,68,114,1353,203,10,14,8.1,29,142,1,0.4
syriaca,LM,11.2,5.8,81,180,1551,286,10,14,8.5,35,142,1.2,0.5
syriaca,LM,9.6,5.6,55,164,1600,252,8,15,9.7,41,152,1.3,0.5
syriaca,LM,5.4,6.2,37,189,824,185,7,13,4.9,31,93,0.8,0.3
syriaca,MKP,7.7,7.2,17,82,2113,581,12,19,7.8,82,74,1.2,1.8
syriaca,MKP,6.3,7.1,13,82,1953,598,10,26,5.2,89,57,0.9,1.3
syriaca,MKP,8.5,7.3,12,94,2125,598,13,18,6.4,86,66,1.1,1.8
syriaca,MKP,6.4,7,7,115,1923,619,10,26,5,91,51,0.9,1.4
syriaca,MKP,9.4,7.4,15,99,2361,757,13,23,9.6,80,94,1.6,2
syriaca,MKP,0.5,7.7,3,31,3134,493,33,12,3.1,7,199,1,0.2
syriaca,MKP,9.9,7,25,62,2486,540,37,28,19.5,74,103,1.8,1.7
syriaca,MKP,7.5,7.4,17,59,1881,525,9,25,15.7,71,72,1.4,1.2
syriaca,RF,12.8,5.6,54,139,1524,314,18,15,6.7,201,100,1.3,0.5
syriaca,RF,11.3,5.9,40,116,1476,290,12,15,3.8,169,106,1,0.6
syriaca,RF,18.4,5.8,78,153,1341,400,18,16,6.5,204,121,1,0.6
syriaca,RF,12.4,5.4,58,108,881,230,19,15,4.8,203,144,1,0.3
syriaca,RF,11.8,6.2,50,141,1353,326,12,16,2.9,191,123,0.9,0.6
