,samples,paired_end,Archaea|Euryarchaeota,Archaea|Thaumarchaeota,Bacteria|Acidobacteria,Bacteria|Actinobacteria,Bacteria|Aquificae,Bacteria|Armatimonadetes,Bacteria|Bacteroidetes,Bacteria|Balneolaeota,Bacteria|Calditrichaeota,Bacteria|Candidatus Aerophobetes,Bacteria|Candidatus Aminicenantes,Bacteria|Candidatus Atribacteria,Bacteria|Candidatus Buchananbacteria,Bacteria|Candidatus Cloacimonetes,Bacteria|Candidatus Curtissbacteria,Bacteria|Candidatus Dadabacteria,Bacteria|Candidatus Doudnabacteria,Bacteria|Candidatus Eisenbacteria,Bacteria|Candidatus Falkowbacteria,Bacteria|Candidatus Fermentibacteria,Bacteria|Candidatus Gottesmanbacteria,Bacteria|Candidatus Gracilibacteria,Bacteria|Candidatus Magasanikbacteria,Bacteria|Candidatus Marinimicrobia,Bacteria|Candidatus Melainabacteria,Bacteria|Candidatus Nomurabacteria,Bacteria|Candidatus Omnitrophica,Bacteria|Candidatus Peregrinibacteria,Bacteria|Candidatus Poribacteria,Bacteria|Candidatus Portnoybacteria,Bacteria|Candidatus Rokubacteria,Bacteria|Candidatus Saccharibacteria,Bacteria|Candidatus Staskawiczbacteria,Bacteria|Candidatus Sumerlaeota,Bacteria|Candidatus Taylorbacteria,Bacteria|Candidatus Terrybacteria,Bacteria|Candidatus Woesebacteria,Bacteria|Chlamydiae,Bacteria|Chlorobi,Bacteria|Chloroflexi,Bacteria|Cyanobacteria,Bacteria|Deinococcus-Thermus,Bacteria|Dictyoglomi,Bacteria|Elusimicrobia,Bacteria|Firmicutes,Bacteria|Fusobacteria,Bacteria|Gemmatimonadetes,Bacteria|Ignavibacteriae,Bacteria|Nitrospinae,Bacteria|Nitrospirae,Bacteria|Planctomycetes,Bacteria|Proteobacteria,Bacteria|Rhodothermaeota,Bacteria|Spirochaetes,Bacteria|Synergistetes,Bacteria|Tenericutes,Bacteria|Thermodesulfobacteria,Bacteria|Thermotogae,Bacteria|Verrucomicrobia,Bacteria|candidate division CPR3,Bacteria|candidate division NC10,Bacteria|candidate division WWE3,Bacteria|candidate division Zixibacteria,Eukaryota|Apicomplexa,Eukaryota|Ascomycota,Eukaryota|Bacillariophyta,Eukaryota|Basidiomycota,Eukaryota|Blastocladiomycota,Eukaryota|Chlorophyta,Eukaryota|Chytridiomycota,Eukaryota|Cryptomycota,Eukaryota|Microsporidia,Eukaryota|Mucoromycota,Eukaryota|Streptophyta,Eukaryota|Zoopagomycota
10,1G0,R1,0.20571,0,0.09393,8.44138,0.10375,0,0.69446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02389,0,0.00012,0.23575,0.00244,0.00743,0,0.00021,0,0,0,0.00035,0,0,0,0.00074,15.81629,0.13748,0.11018,0,2.72221,0.00436,0.00024,0,0,0.00031,0.00115,4.80234,0,0.02973,0.02189,0.45862,0,0.00914,0,0,0.00028,0,0,0.04773,0.34756,0.00053,0.09069,0,0.03248,0.00015,0.00109,0.00097,0.00773,0,0.00058
11,1G0,R2,0.16877,0,0.08961,4.63377,0.25288,0,0.19671,0,0,0,0,0.00711,0,0,0,0,0,0,0,0,0,0,0,0,0.00326,0,0.00021,0,0.00342,0,0,0,0,0,0,0,0,0,0,0.00047,17.97787,0.06226,0,0,3.06466,0.00225,0.00065,0,0,0.00054,0.00202,3.66176,0,0.11977,0.01644,0.38846,0,0.02847,0,0,0.00018,0,0,0.01996,0.17028,0.00012,0.01368,0,0.021,0,0.00087,0.00039,0.00321,0,0.00018
12,1G0,R1,0.17039,0,0.03027,2.3877,0.14317,0,0.20572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00981,0,0,0,0.00232,0,0,0,0.00028,0,0,0,0,0,0,0.00282,12.85164,0.04893,0,0,0.67516,0.0025,0,0,0,0,0.00059,3.9552,0,0.02582,0.01321,0.26272,0.00014,0.00448,0,0,0.00028,0,0,0.01628,0.08252,0.00014,0.01537,0,0.01898,0,0,0.00044,0.00162,0,0.00025
13,1G0,R2,0.17844,0,0.08042,2.24555,0.22758,0.00027,0.38425,0,0,0,0,0,0,0,0,0,0,0,0,0.00021,0,0,0,0,0.00281,0,0.00011,0,0.00212,0,0,0,0,0,0,0,0,0,0,0.0002,16.00058,0.08867,0,0,2.64908,0.0027,0,0.00018,0,0.00389,0.0008,7.59245,0,0.10582,0.00779,1.0325,0.02785,0.01362,0.00088,0,0.00029,0,0,0.01698,0.15965,0.00025,0.0355,0,0.01884,0,0.00062,0.00035,0.00256,0,0
14,1G0,R1,0.15606,0,0.07881,2.81769,0.09934,0,0.45678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206,0,0,0.1525,0.00259,0,0,0,0,0,0,0.00025,0,0,0,0.00027,9.2203,0.03565,0,0,2.49303,0.00191,0,0,0,0,0.00034,9.58248,0,0.03931,0.01337,0.52155,0,0.03344,0,0,0.00031,0,0,0.07476,0.24872,0.00022,0.15189,0,0.02858,0,0.00012,0.00042,0.00186,0,0
15,1G1,R2,0.15057,0,0.08725,2.87184,0.17968,0,0.60892,0,0,0,0,0.00457,0,0,0,0,0,0,0,0.00016,0,0,0,0,0.01289,0,0.00013,0,0.00293,0,0,0,0,0,0,0.00048,0,0,0.00015,0.00047,15.29525,0.08139,0,0,2.62759,0.00265,0,0.00013,0,0.00417,0.00071,5.93124,0,0.69219,0.01565,1.27413,0,0.00825,0,0,0.00033,0,0,0.00959,0.16364,0.00037,0.0397,0,0.0207,0,0.00021,0.00044,0.00297,0,0.00044
16,1H0,R1,0.1687,0,0,5.17185,0.13236,0,0.1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00928,0,0,0.18285,0.00217,0,0,0,0,0,0,0,0,0,0.00012,0.00174,12.76386,0.1145,0,0,5.80849,0.0023,0.00019,0,0,0.00352,0.0009,4.9941,0,0.06808,0.00772,1.14013,0,0,0,0,0.00014,0,0,0.01825,0.21733,0.00061,0.04317,0,0.02608,0,0,0.00069,0.00521,0,0.00017
17,1H0,R2,0.13897,0,0.00163,3.42432,0.22837,0,0.36243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246,0,0,0.31271,0.00278,0,0,0,0.00015,0,0,0.00015,0,0,0,0.00024,15.87975,0.09815,0,0,1.84617,0.0048,0,0,0,0.00051,0.00078,6.23676,0,0.09392,0.01718,0.31027,0,0.02018,0,0,0.0002,0,0,0.0175,0.14718,0,0.0279,0,0.01619,0,0.00058,0.00026,0.00228,0,0
18,1H0,R1,0.11887,0,0.03624,2.96417,0.22162,0,0.23891,0,0,0,0,0.00381,0,0,0,0,0,0,0,0,0,0,0,0,0.00216,0,0,0.20582,0.00225,0,0,0,0,0,0.00037,0.00015,0,0,0,0.00035,13.73371,0.02802,0,0,1.22933,0.00496,0,0,0,0.0014,0.00095,3.26466,0,0.08229,0.01553,0.23627,0,0.00017,0.00036,0,0.00101,0,0,0.01615,0.08312,0,0.02148,0,0.01467,0,0.00039,0.00019,0.00185,0,0
19,1H0,R2,0.14424,0,0.10855,3.87784,0.12519,0.00011,1.18631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01535,0,0.00014,0.03162,0.00203,0,0,0,0,0,0,0.00034,0,0,0,0.01776,16.96917,0.12309,0,0,2.72086,0.00419,0.00097,0,0,0.00308,0.00089,7.81641,0,0.02913,0.01151,0.60961,0.07495,0.02264,0.00425,0,0.00025,0,0,0.04231,0.41038,0.00031,0.0929,0,0.03204,0,0.00045,0.00081,0.00758,0,0.00012
20,1H1,R1,0.10934,0,0.10829,1.66634,0.12866,0,0.33319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00324,0,0.00043,0.0222,0.00287,0.00888,0,0.00023,0.00013,0,0,0.00029,0,0,0,0.01905,17.92957,0.05064,0,0,2.62738,0.01016,0,0,0,0.00046,0.00171,5.31957,0,0.02886,0.0198,0.0145,0,0.01884,0.00027,0,0.00034,0,0,0.01103,0.1815,0,0.06785,0,0.04115,0,0.00012,0.00016,0.00329,0,0.00034
21,1H1,R2,0.19964,0,0.07789,3.77357,0.1398,0,0.55741,0,0,0,0,0.00604,0,0,0,0,0,0,0,0,0,0,0,0,0.00308,0,0.00013,0.25898,0.00226,0.0088,0,0.00015,0.00012,0,0,0.00029,0,0,0,0.00046,18.29516,0.08013,0,0,2.48606,0.00339,0.00012,0.0003,0,0.00409,0.00055,5.22652,0,0.03511,0.01229,0.61215,0.10031,0,0.00094,0,0.00035,0,0,0.01777,0.18592,0.00044,0.06772,0,0.02496,0,0.00057,0.00045,0.00393,0,0
22,2A0,R1,0.05146,0.00025,0.04036,2.41551,0.11787,0.00014,0.33482,0,0,0,0,0.00714,0,0,0,0,0,0.0002,0,0,0,0,0,0,0.00435,0,0.00012,0.17501,0.00305,0,0,0,0.00023,0,0.0002,0,0,0,0.00173,0.02548,21.42167,0.0504,0,0,3.5583,0.00529,0.00013,0,0,0.00372,0.00688,7.07294,0,0.05106,0.01229,0.64336,0.03559,0.00737,0.00389,0,0.00028,0,0,0.013,0.12171,0,0.01847,0,0.0169,0,0.00014,0.00043,0.00159,0,0
23,2A0,R2,0.15804,0,0.07694,3.88673,0.23356,0,0.29162,0,0,0,0,0.004,0,0,0,0,0,0,0.00059,0,0,0.00013,0,0,0.00204,0,0.00016,0,0.00293,0,0,0,0.00017,0,0.00047,0.00029,0,0,0.00017,0.00182,18.45849,0.07347,0,0,2.41198,0.00255,0.00012,0,0,0.00049,0.00143,6.33297,0,0.46876,0.00891,0.36042,0,0.01352,0,0,0.00033,0,0,0.02333,0.12698,0.00027,0.05679,0.00022,0.02191,0,0.00021,0.0006,0.00342,0,0.00014
24,2A0,R1,0.06082,0.00017,0.05461,3.31356,0.09822,0,1.08904,0,0,0,0.00576,0.00605,0,0,0,0,0,0,0,0,0,0,0.00678,0,0.00243,0,0,0,0.00249,0,0.00039,0,0,0,0,0,0,0,0,0.01496,15.11749,0.04024,0,0,5.12528,0.00446,0,0,0,0.00101,0.00149,9.71422,0.00048,0.04205,0.01001,1.29762,0.02196,0.01361,0.02349,0,0,0,0,0.00465,0.12124,0.00013,0.04075,0,0.02381,0,0,0.00019,0.00297,0,0.00027
25,2A0,R2,0.08438,0,0.04982,3.09385,0.26224,0.00028,0.20867,0,0.00273,0,0,0.00492,0,0,0,0,0,0,0,0,0,0,0,0,0.01758,0,0.00067,0.28598,0.00315,0,0,0,0.00022,0,0.00022,0.00028,0,0,0,0.02644,22.09325,0.05723,0,0,2.96579,0.00353,0,0,0,0.00296,0.00111,4.51239,0,0.11828,0.01305,1.45055,0.06959,0.01374,0.00061,0,0.00026,0,0,0.00877,0.08763,0.00022,0.01783,0,0.01479,0,0.0002,0.00044,0.00282,0,0
26,2A1,R1,0.14935,0,0.00193,1.89188,0.12772,0,0.25335,0,0,0,0,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0.01071,0,0,0.2323,0.00217,0,0,0,0.00019,0,0.0004,0.00025,0,0,0,0,13.23288,0.04932,0,0,1.64035,0.00345,0,0,0,0.00029,0.00021,6.16135,0,0.03324,0.00762,0.52692,0,0.02258,0.00092,0,0.00029,0,0,0.08001,0.10302,0.00035,0.04042,0,0.0115,0,0.00037,0.00053,0.00252,0,0
27,2A1,R2,0.12646,0,0.00197,1.73207,0,0,0.26135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00939,0,0,0.11838,0.00232,0.00403,0,0.00172,0.00012,0,0,0.00013,0,0,0,0.00012,16.12206,0.02366,0,0,1.64912,0.00515,0,0,0,0,0.00022,3.51857,0,0.03341,0.01412,0.52751,0,0,0.00063,0,0.0002,0,0,0.00695,0.07409,0.00015,0.0259,0,0.01651,0,0.0023,0.00012,0.00198,0,0
28,2B0,R1,0.0671,0,0.05163,2.73888,0.15235,0,0.50293,0,0,0,0,0.00711,0,0,0,0,0,0,0.00045,0,0,0,0,0,0.01679,0,0.00012,0.22593,0.00368,0,0,0,0.00011,0,0.00019,0,0,0.00021,0,0.01871,23.09561,0.04974,0,0,1.97243,0.00381,0.0008,0.00011,0,0.00321,0.00073,8.05856,0.00041,0.04796,0.00767,0.45607,0.029,0.00936,0.00053,0,0.00116,0,0,0.05664,0.20601,0,0.03432,0,0.02824,0,0.00021,0.00037,0.00289,0,0
